Date,Stock Name,Volume
01/03/24,ABC,330327
02/03/24,ABC,75013
04/03/24,ABC,290739
05/03/24,ABC,426920
06/03/24,ABC,548822
07/03/24,ABC,369486
11/03/24,ABC,405497
12/03/24,ABC,386049
13/03/24,ABC,1404274
14/03/24,ABC,2017216
15/03/24,ABC,1690895
18/03/24,ABC,876983
19/03/24,ABC,534269
20/03/24,ABC,634861
21/03/24,ABC,295341
22/03/24,ABC,246234
26/03/24,ABC,309628
27/03/24,ABC,1428814
28/03/24,ABC,463375
01/04/24,ABC,364256
02/04/24,ABC,275999
03/04/24,ABC,338434
04/04/24,ABC,263766
05/04/24,ABC,439100
08/04/24,ABC,349481
09/04/24,ABC,259399
10/04/24,ABC,211152
12/04/24,ABC,234673
15/04/24,ABC,1689271
16/04/24,ABC,936997
18/04/24,ABC,3422432
19/04/24,ABC,2609068
22/04/24,ABC,1991808
23/04/24,ABC,719417
24/04/24,ABC,724574
25/04/24,ABC,327485
26/04/24,ABC,280742
29/04/24,ABC,358392
30/04/24,ABC,504605
