Date,Time,Stock Name,Last Traded Quantity
22/04/24,9:15:07,ABC,56427
22/04/24,9:15:08,ABC,0
22/04/24,9:15:09,ABC,0
22/04/24,9:15:10,ABC,0
22/04/24,9:15:11,ABC,0
22/04/24,9:15:12,ABC,0
22/04/24,9:15:13,ABC,0
22/04/24,9:15:14,ABC,0
22/04/24,9:15:15,ABC,7286
22/04/24,9:15:16,ABC,0
22/04/24,9:15:17,ABC,0
22/04/24,9:15:18,ABC,0
22/04/24,9:15:19,ABC,0
22/04/24,9:15:20,ABC,0
22/04/24,9:15:21,ABC,0
22/04/24,9:15:22,ABC,0
22/04/24,9:15:23,ABC,13988
22/04/24,9:15:24,ABC,0
22/04/24,9:15:25,ABC,0
22/04/24,9:15:26,ABC,0
22/04/24,9:15:27,ABC,0
22/04/24,9:15:28,ABC,0
22/04/24,9:15:29,ABC,0
22/04/24,9:15:30,ABC,9402
22/04/24,9:15:31,ABC,0
22/04/24,9:15:32,ABC,0
22/04/24,9:15:33,ABC,0
22/04/24,9:15:34,ABC,0
22/04/24,9:15:35,ABC,0
22/04/24,9:15:36,ABC,0
22/04/24,9:15:37,ABC,12666
22/04/24,9:15:38,ABC,0
22/04/24,9:15:39,ABC,0
22/04/24,9:15:40,ABC,0
22/04/24,9:15:41,ABC,0
22/04/24,9:15:42,ABC,0
22/04/24,9:15:43,ABC,0
22/04/24,9:15:44,ABC,24568
22/04/24,9:15:45,ABC,0
22/04/24,9:15:46,ABC,0
22/04/24,9:15:47,ABC,0
22/04/24,9:15:48,ABC,0
22/04/24,9:15:49,ABC,0
22/04/24,9:15:50,ABC,5540
22/04/24,9:15:51,ABC,0
22/04/24,9:15:52,ABC,0
22/04/24,9:15:53,ABC,0
22/04/24,9:15:54,ABC,0
22/04/24,9:15:55,ABC,0
22/04/24,9:15:56,ABC,0
22/04/24,9:15:57,ABC,4828
22/04/24,9:15:58,ABC,0
22/04/24,9:15:59,ABC,0
22/04/24,9:16:00,ABC,0
22/04/24,9:16:01,ABC,0
22/04/24,9:16:02,ABC,0
